datetime,pm25,temp,humidity,precip,wind_speed,hour,day_of_week,month,is_weekend,is_rainy_season,traffic_proxy,pm25_lag1,pm25_lag2,pm25_lag3,pm25_lag24,traffic_lag1,traffic_lag2,precip_lag1,wind_speed_lag1,pm25_roll3,pm25_roll6,pm25_roll12,pm25_roll24
2024-10-29 15:00:00,26.8,27.0,80,4.8,15.9,15,1,10,0,1,0.5108276240994183,21.8,25.6,24.4,17.4,0.3939369336234074,0.35849227276083206,0.3,8.3,23.933333333333298,23.316666666666666,18.416666666666668,18.087500000000002
2024-10-29 16:00:00,33.9,25.5,87,0.8,12.2,16,1,10,0,1,0.766501568322093,26.8,21.8,25.6,18.4,0.5108276240994183,0.3939369336234074,4.8,15.9,24.733333333333302,24.333333333333332,19.758333333333336,18.479166666666668
2024-10-29 17:00:00,38.4,25.6,88,0.4,6.5,17,1,10,0,1,1.0,33.9,26.8,21.8,18.2,0.766501568322093,0.5108276240994183,0.8,12.2,27.49999999999996,26.266666666666666,21.741666666666664,19.125
2024-10-29 18:00:00,41.0,25.2,92,0.2,5.6,18,1,10,0,1,1.0,38.4,33.9,26.8,18.8,1.0,0.766501568322093,0.4,6.5,33.033333333333296,28.483333333333334,24.083333333333332,19.966666666666665
2024-10-29 19:00:00,46.3,25.0,94,0.0,5.5,19,1,10,0,1,1.0,41.0,38.4,33.9,23.6,1.0,1.0,0.2,5.6,37.76666666666663,31.25,26.40833333333333,20.891666666666666
2024-10-29 20:00:00,45.5,25.2,91,0.0,5.1,20,1,10,0,1,0.9386966281070632,46.3,41.0,38.4,20.4,1.0,1.0,0.0,5.5,41.899999999999956,34.699999999999996,28.71666666666667,21.837500000000002
2024-10-29 21:00:00,44.8,25.3,91,0.0,7.7,21,1,10,0,1,0.62025454537368,45.5,46.3,41.0,20.1,0.9386966281070632,1.0,0.0,5.1,44.26666666666662,38.65,30.983333333333334,22.88333333333333
2024-10-29 22:00:00,43.0,25.2,92,0.0,9.4,22,1,10,0,1,0.4377767624886967,44.8,45.5,46.3,19.2,0.62025454537368,0.9386966281070632,0.0,7.7,45.533333333333296,41.65,32.99166666666667,23.912499999999998
2024-10-29 23:00:00,40.2,25.0,93,0.0,9.0,23,1,10,0,1,0.12017024636218578,43.0,44.8,45.5,17.2,0.4377767624886967,0.62025454537368,0.0,9.4,44.4333333333333,43.166666666666664,34.71666666666667,24.90416666666667
2024-10-30 00:00:00,37.6,24.8,94,0.0,7.5,0,2,10,0,1,0.10000066583614699,40.2,43.0,44.8,15.0,0.12017024636218578,0.4377767624886967,0.0,9.0,42.66666666666663,43.46666666666667,35.975,25.862499999999997
2024-10-30 01:00:00,36.9,24.3,97,0.0,4.9,1,2,10,0,1,0.10001866446911353,37.6,40.2,43.0,13.2,0.10000066583614699,0.12017024636218578,0.0,7.5,40.26666666666663,42.9,37.074999999999996,26.804166666666664
2024-10-30 02:00:00,37.8,24.0,98,0.0,5.1,2,2,10,0,1,0.10033546262790252,36.9,37.6,40.2,11.6,0.10001866446911353,0.10000066583614699,0.0,4.9,38.2333333333333,41.333333333333336,38.016666666666666,27.791666666666668
2024-10-30 03:00:00,39.0,24.0,98,0.0,6.0,3,2,10,0,1,0.10386592013947281,37.8,36.9,37.6,10.7,0.10033546262790252,0.10001866446911353,0.0,5.1,37.43333333333329,40.050000000000004,39.35,28.883333333333336
2024-10-30 04:00:00,38.4,23.5,99,0.0,3.1,4,2,10,0,1,0.12856550078455037,39.0,37.8,36.9,10.1,0.10386592013947281,0.10033546262790252,0.0,6.0,37.899999999999956,39.083333333333336,40.36666666666667,30.0625
2024-10-30 05:00:00,37.4,23.6,99,0.0,5.7,5,2,10,0,1,0.2353352832366127,38.4,39.0,37.8,10.3,0.12856550078455037,0.10386592013947281,0.0,3.1,38.399999999999956,38.31666666666666,40.74166666666667,31.241666666666664
2024-10-30 06:00:00,41.9,23.6,99,0.0,5.2,6,2,10,0,1,0.7611122905071874,37.4,38.4,39.0,13.1,0.2353352832366127,0.12856550078455037,0.0,5.7,38.26666666666663,37.85,40.65833333333333,32.37083333333333
2024-10-30 07:00:00,34.8,24.8,95,0.0,6.0,7,2,10,0,1,1.0,41.9,37.4,38.4,18.6,0.7611122905071874,0.2353352832366127,0.0,5.2,39.2333333333333,38.56666666666667,40.733333333333334,33.57083333333333
2024-10-30 08:00:00,27.2,27.1,87,0.0,9.0,8,2,10,0,1,1.0,34.8,41.9,37.4,18.3,1.0,0.7611122905071874,0.0,6.0,38.033333333333296,38.21666666666667,39.775,34.24583333333333
2024-10-30 09:00:00,25.7,28.3,83,0.0,8.5,9,2,10,0,1,1.0,27.2,34.8,41.9,20.7,1.0,1.0,0.0,9.0,34.63333333333329,36.449999999999996,38.25,34.61666666666667
2024-10-30 10:00:00,27.1,29.5,79,0.1,9.7,10,2,10,0,1,0.7611122905071874,25.7,27.2,34.8,22.3,1.0,1.0,0.0,8.5,29.23333333333329,34.23333333333333,36.65833333333333,34.824999999999996
2024-10-30 11:00:00,24.4,30.5,73,0.1,12.5,11,2,10,0,1,0.4853352832366127,27.1,25.7,27.2,25.1,0.7611122905071874,1.0,0.1,9.7,26.66666666666663,32.35,35.333333333333336,35.025
2024-10-30 12:00:00,21.4,31.0,70,0.1,13.6,12,2,10,0,1,0.37856550078455037,24.4,27.1,25.7,24.4,0.4853352832366127,0.7611122905071874,0.1,12.5,25.73333333333329,30.183333333333334,34.016666666666666,34.99583333333333
2024-10-30 13:00:00,20.5,31.1,69,0.1,14.5,13,2,10,0,1,0.35849227276083206,21.4,24.4,27.1,25.6,0.37856550078455037,0.4853352832366127,0.1,13.6,24.299999999999965,26.766666666666666,32.666666666666664,34.87083333333333
2024-10-30 14:00:00,21.0,29.1,77,3.0,9.5,14,2,10,0,1,0.3939369336234074,20.5,21.4,24.4,21.8,0.35849227276083206,0.37856550078455037,0.1,14.5,22.099999999999962,24.383333333333336,31.299999999999997,34.65833333333333
2024-10-30 15:00:00,20.1,28.8,76,1.4,5.1,15,2,10,0,1,0.5108276240994183,21.0,20.5,21.4,26.8,0.3939369336234074,0.35849227276083206,3.0,9.5,20.96666666666663,23.349999999999998,29.899999999999995,34.625
2024-10-30 16:00:00,21.2,27.6,80,1.6,10.1,16,2,10,0,1,0.766501568322093,20.1,21.0,20.5,33.9,0.5108276240994183,0.3939369336234074,1.4,5.1,20.533333333333296,22.416666666666668,28.325,34.34583333333333
2024-10-30 17:00:00,21.7,27.4,80,0.1,7.6,17,2,10,0,1,1.0,21.2,20.1,21.0,38.4,0.766501568322093,0.5108276240994183,1.6,10.1,20.766666666666627,21.433333333333334,26.891666666666666,33.81666666666667
2024-10-30 18:00:00,27.0,26.2,89,0.0,7.3,18,2,10,0,1,1.0,21.7,21.2,20.1,41.0,1.0,0.766501568322093,0.1,7.6,20.99999999999996,20.98333333333333,25.583333333333332,33.12083333333333
2024-10-30 19:00:00,24.7,25.7,91,0.0,9.4,19,2,10,0,1,1.0,27.0,21.7,21.2,46.3,1.0,1.0,0.0,7.3,23.299999999999965,21.916666666666668,24.341666666666665,32.5375
2024-10-30 20:00:00,24.4,25.5,92,0.1,9.7,20,2,10,0,1,0.9386966281070632,24.7,27.0,21.7,45.5,1.0,1.0,0.0,9.4,24.466666666666626,22.616666666666664,23.499999999999996,31.637500000000003
2024-10-30 21:00:00,23.7,25.0,92,0.1,10.0,21,2,10,0,1,0.62025454537368,24.4,24.7,27.0,44.8,0.9386966281070632,1.0,0.1,9.7,25.366666666666628,23.183333333333334,23.266666666666666,30.758333333333336
2024-10-30 22:00:00,21.5,24.5,94,0.0,9.2,22,2,10,0,1,0.4377767624886967,23.7,24.4,24.7,43.0,0.62025454537368,0.9386966281070632,0.1,10.0,24.266666666666627,23.78333333333333,23.099999999999998,29.879166666666663
2024-10-30 23:00:00,19.2,24.2,96,0.0,7.8,23,2,10,0,1,0.12017024636218578,21.5,23.7,24.4,40.2,0.4377767624886967,0.62025454537368,0.0,9.2,23.19999999999996,23.833333333333332,22.633333333333336,28.98333333333333
2024-10-31 00:00:00,17.9,24.1,96,0.0,6.6,0,3,10,0,1,0.10000066583614699,19.2,21.5,23.7,37.6,0.12017024636218578,0.4377767624886967,0.0,7.8,21.46666666666663,23.416666666666668,22.2,28.108333333333334
2024-10-31 01:00:00,17.3,24.0,96,0.0,8.4,1,3,10,0,1,0.10001866446911353,17.9,19.2,21.5,36.9,0.10000066583614699,0.12017024636218578,0.0,6.6,19.533333333333292,21.900000000000002,21.908333333333335,27.287499999999998
2024-10-31 02:00:00,16.9,23.9,97,0.0,8.5,2,3,10,0,1,0.10033546262790252,17.3,17.9,19.2,37.8,0.10001866446911353,0.10000066583614699,0.0,8.4,18.133333333333294,20.666666666666668,21.641666666666666,26.470833333333335
2024-10-31 03:00:00,16.6,23.9,96,0.0,7.3,3,3,10,0,1,0.10386592013947281,16.9,17.3,17.9,39.0,0.10033546262790252,0.10001866446911353,0.0,8.5,17.366666666666628,19.416666666666668,21.3,25.599999999999998
2024-10-31 04:00:00,16.5,23.8,96,0.0,6.5,4,3,10,0,1,0.12856550078455037,16.6,16.9,17.3,38.4,0.10386592013947281,0.10033546262790252,0.0,7.3,16.933333333333298,18.233333333333334,21.008333333333333,24.666666666666668
2024-10-31 05:00:00,16.6,23.6,97,0.0,5.5,5,3,10,0,1,0.2353352832366127,16.5,16.6,16.9,37.4,0.12856550078455037,0.10386592013947281,0.0,6.5,16.66666666666663,17.400000000000002,20.616666666666667,23.754166666666666
2024-10-31 06:00:00,18.3,23.6,97,0.0,6.2,6,3,10,0,1,0.7611122905071874,16.6,16.5,16.6,41.9,0.2353352832366127,0.12856550078455037,0.0,5.5,16.56666666666663,16.966666666666665,20.191666666666666,22.8875
2024-10-31 07:00:00,13.0,24.6,93,0.0,6.8,7,3,10,0,1,1.0,18.3,16.6,16.5,34.8,0.7611122905071874,0.2353352832366127,0.0,6.2,17.133333333333297,17.033333333333335,19.46666666666667,21.904166666666665
2024-10-31 08:00:00,15.0,26.5,87,0.0,8.5,8,3,10,0,1,1.0,13.0,18.3,16.6,27.2,1.0,0.7611122905071874,0.0,6.8,15.966666666666631,16.316666666666666,18.491666666666667,20.995833333333334
2024-10-31 09:00:00,18.2,28.0,81,0.0,9.7,9,3,10,0,1,1.0,15.0,13.0,18.3,25.7,1.0,1.0,0.0,8.5,15.433333333333294,16.0,17.708333333333332,20.4875
2024-10-31 10:00:00,19.3,29.5,74,0.0,11.8,10,3,10,0,1,0.7611122905071874,18.2,15.0,13.0,27.1,1.0,1.0,0.0,9.7,15.399999999999963,16.26666666666667,17.25,20.175
2024-10-31 11:00:00,18.4,30.4,71,0.0,13.4,11,3,10,0,1,0.4853352832366127,19.3,18.2,15.0,24.4,0.7611122905071874,1.0,0.0,11.8,17.49999999999996,16.73333333333333,17.066666666666666,19.85
2024-10-31 12:00:00,17.1,31.0,68,0.0,14.9,12,3,10,0,1,0.37856550078455037,18.4,19.3,18.2,21.4,0.4853352832366127,0.7611122905071874,0.0,13.4,18.633333333333294,17.033333333333335,17.0,19.599999999999998
2024-10-31 13:00:00,16.9,31.3,67,0.0,14.4,13,3,10,0,1,0.35849227276083206,17.1,18.4,19.3,20.5,0.37856550078455037,0.4853352832366127,0.0,14.9,18.26666666666663,16.833333333333332,16.933333333333334,19.420833333333334
2024-10-31 14:00:00,16.9,31.2,67,0.0,13.1,14,3,10,0,1,0.3939369336234074,16.9,17.1,18.4,21.0,0.35849227276083206,0.37856550078455037,0.0,14.4,17.46666666666663,17.483333333333334,16.9,19.270833333333332
2024-10-31 15:00:00,17.5,31.1,68,0.0,11.1,15,3,10,0,1,0.5108276240994183,16.9,16.9,17.1,20.1,0.3939369336234074,0.35849227276083206,0.0,13.1,16.96666666666663,17.8,16.9,19.1
2024-10-31 16:00:00,17.8,29.0,76,0.5,13.6,16,3,10,0,1,0.766501568322093,17.5,16.9,16.9,21.2,0.5108276240994183,0.3939369336234074,0.0,11.1,17.099999999999962,17.683333333333334,16.974999999999998,18.991666666666667
2024-10-31 17:00:00,23.6,27.6,82,0.1,6.6,17,3,10,0,1,1.0,17.8,17.5,16.9,21.7,0.766501568322093,0.5108276240994183,0.5,13.6,17.399999999999963,17.433333333333334,17.083333333333332,18.849999999999998
2024-10-31 18:00:00,31.2,27.2,86,0.1,3.3,18,3,10,0,1,1.0,23.6,17.8,17.5,27.0,1.0,0.766501568322093,0.1,6.6,19.633333333333297,18.3,17.666666666666668,18.929166666666667
2024-10-31 19:00:00,40.0,26.9,89,0.0,4.9,19,3,10,0,1,1.0,31.2,23.6,17.8,24.7,1.0,1.0,0.1,3.3,24.19999999999996,20.650000000000002,18.741666666666664,19.104166666666668
2024-10-31 20:00:00,44.4,26.7,86,0.0,8.1,20,3,10,0,1,0.9386966281070632,40.0,31.2,23.6,24.4,1.0,1.0,0.0,4.9,31.599999999999966,24.5,20.991666666666664,19.741666666666667
2024-10-31 21:00:00,45.2,26.2,88,0.0,8.0,21,3,10,0,1,0.62025454537368,44.4,40.0,31.2,23.7,0.9386966281070632,1.0,0.0,8.1,38.533333333333296,29.083333333333332,23.441666666666666,20.575
2024-10-31 22:00:00,40.9,25.9,88,0.0,9.4,22,3,10,0,1,0.4377767624886967,45.2,44.4,40.0,21.5,0.62025454537368,0.9386966281070632,0.0,8.0,43.19999999999997,33.699999999999996,25.691666666666666,21.47083333333333
2024-10-31 23:00:00,34.6,25.7,88,0.0,8.7,23,3,10,0,1,0.12017024636218578,40.9,45.2,44.4,19.2,0.4377767624886967,0.62025454537368,0.0,9.4,43.499999999999964,37.550000000000004,27.491666666666664,22.27916666666667
2024-11-01 00:00:00,29.7,25.5,89,0.0,8.0,0,4,11,0,1,0.10000066583614699,34.6,40.9,45.2,17.9,0.12017024636218578,0.4377767624886967,0.0,8.7,40.2333333333333,39.38333333333333,28.84166666666667,22.92083333333333
2024-11-01 01:00:00,26.0,25.2,91,0.0,7.3,1,4,11,0,1,0.10001866446911353,29.7,34.6,40.9,17.3,0.10000066583614699,0.12017024636218578,0.0,8.0,35.06666666666663,39.13333333333333,29.891666666666666,23.412499999999998
